date,reattends
01/04/2014,1103
01/05/2014,1261
01/06/2014,1167
01/07/2014,1241
01/08/2014,1199
01/09/2014,1189
01/10/2014,1100
01/11/2014,1074
01/12/2014,1066
01/01/2015,987
01/02/2015,964
01/03/2015,1176
01/04/2015,1141
01/05/2015,1163
01/06/2015,1143
01/07/2015,1318
01/08/2015,1181
01/09/2015,1255
01/10/2015,1167
01/11/2015,1183
01/12/2015,1156
01/01/2016,962
01/02/2016,1038
01/03/2016,1204
01/04/2016,934
01/05/2016,979
01/06/2016,1162
01/07/2016,1134
01/08/2016,1161
01/09/2016,1121
01/10/2016,1067
01/11/2016,926
01/12/2016,986
01/01/2017,892
01/02/2017,881
01/03/2017,1038
01/04/2017,906
01/05/2017,904
01/06/2017,886
01/07/2017,988
01/08/2017,869
01/09/2017,845
01/10/2017,820
