year,flow
1871,3533.916667
1872,3664.25
1873,3047.5
1874,3808.583333
1875,3677.5
1876,3663.416667
1877,2667.583333
1878,3900.083333
1879,4326.666667
1880,3590.583333
1881,3147.25
1882,2954.083333
1883,3498.416667
1884,3142.166667
1885,3213.916667
1886,3035
1887,3711.75
1888,2521.666667
1889,3023.5
1890,3507.5
1891,3493.666667
1892,4268.75
1893,3635.583333
1894,3946.416667
1895,3978.166667
1896,3856
1897,3248.166667
1898,3479.833333
1899,2453
1900,2649.166667
1901,2764.916667
1902,2196.666667
1903,2973.583333
1904,2613.416667
1905,2219.333333
1906,2901
1907,2186.75
1908,3215.333333
1909,3318.25
1910,3063.666667
1911,2605.583333
1912,2239.75
1913,1441.25
1914,2654.166667
1915,2191.75
1916,3570.333333
1917,3498.166667
1918,2564.583333
1919,2434.166667
1920,2594.333333
1921,2415.166667
1922,2683.583333
1923,2733.416667
1924,2729.416667
1925,2138.083333
1926,2665.916667
1927,2306.25
1928,2495.416667
1929,3241.083333
1930,2334.416667
